name,deltaG,SMILES,db
AMG-319,-8.52,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=C(C=C(F)C=C2)N=C1C1=NC=CC=C1,db_79
AMG-319,-8.52,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=C(C=C(F)C=C2)N=C1C1=NC=CC=C1,db_117
AMG-319,-8.52,C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=C(C=C(F)C=C2)N=C1C1=NC=CC=C1,db_136
Rilematovir,-8.52,CS(=O)(=O)CCCN1C(CN2C(=O)N(CC(F)(F)F)C3=C2C=NC=C3)=CC2=C1C=CC(Cl)=C2,db_79
Rilematovir,-8.52,CS(=O)(=O)CCCN1C(CN2C(=O)N(CC(F)(F)F)C3=C2C=NC=C3)=CC2=C1C=CC(Cl)=C2,db_117
Rilematovir,-8.52,CS(=O)(=O)CCCN1C(CN2C(=O)N(CC(F)(F)F)C3=C2C=NC=C3)=CC2=C1C=CC(Cl)=C2,db_136
Pexidartinib,-8.51,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,db_36
Pexidartinib,-8.51,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,db_68
Lemborexant,-8.51,CC1=NC=C(OC[C@]2(C[C@H]2C(=O)NC2=NC=C(F)C=C2)C2=CC=CC(F)=C2)C(C)=N1,db_36
Lemborexant,-8.51,CC1=NC=C(OC[C@]2(C[C@H]2C(=O)NC2=NC=C(F)C=C2)C2=CC=CC(F)=C2)C(C)=N1,db_68
Avanafil,-8.49,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1,db_11
Avanafil,-8.49,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N2CCC[C@H]2CO)C(=O)NCC2=NC=CC=N2)C=C1,db_142
Enitociclib,-8.49,COC1=C(C=CC(F)=C1)C1=CC(NC2=NC=CC(C[S@@](C)(=N)=O)=C2)=NC=C1F,db_11
Enitociclib,-8.49,COC1=C(C=CC(F)=C1)C1=CC(NC2=NC=CC(C[S@@](C)(=N)=O)=C2)=NC=C1F,db_142
R343,-8.48,CNC(=O)COC1=CC=CC(NC2=NC=C(F)C(NC3=CC=C4OC(F)(F)C(=O)NC4=C3)=N2)=C1,db_13
Zibotentan,-8.47,COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1,db_16
Zibotentan,-8.47,COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1,db_60
Zibotentan,-8.47,COC1=NC(C)=CN=C1NS(=O)(=O)C1=CC=CN=C1C1=CC=C(C=C1)C1=NN=CO1,db_100
Olinciguat,-8.47,NC(=O)[C@](O)(CNC1=C(F)C=NC(=N1)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)C(F)(F)F,db_16
Olinciguat,-8.47,NC(=O)[C@](O)(CNC1=C(F)C=NC(=N1)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)C(F)(F)F,db_60
Olinciguat,-8.47,NC(=O)[C@](O)(CNC1=C(F)C=NC(=N1)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)C(F)(F)F,db_100
Seletalisib,-8.47,[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F,db_16
Seletalisib,-8.47,[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F,db_60
Seletalisib,-8.47,[O-][N+]1=CC(=CC=C1)C1=NC2=C(Cl)C=CC=C2C=C1[C@@H](NC1=NC=NC2=CC=CN=C12)C(F)(F)F,db_100
Lartesertib,-8.44,COC1=CC2=C(C=C1C1=CN(C)N=C1C)C1=C(C=N2)N(C)C(=O)N1C1=C(F)C=NC=C1OC,db_167
Decoglurant,-8.4,NC1=CC=C(C=N1)C#CC1=C2N=C(C=C(N2N=C1)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)F,db_34
Henatinib,-8.37,CC1=C(NC2=C1C(=O)N(C[C@H](O)CN1CCOCC1)CCC2)\C=C1/C(=O)NC2=CC=C(F)C=C12,db_70
AZD-3759,-8.36,COC1=C(OC(=O)N2CCN(C)C[C@H]2C)C=C2C(NC3=C(F)C(Cl)=CC=C3)=NC=NC2=C1,db_84
Tovorafenib,-8.33,C[C@@H](NC(=O)C1=C(Cl)C(N)=NC=N1)C1=NC=C(S1)C(=O)NC1=NC=C(Cl)C(=C1)C(F)(F)F,db_105
Pemigatinib,-8.32,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,db_17
Pemigatinib,-8.32,CCN1C(=O)N(CC2=CN=C3NC(CN4CCOCC4)=CC3=C12)C1=C(F)C(OC)=CC(OC)=C1F,db_96
Tamatinib,-8.32,COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)NC4=N3)=N2)=CC(OC)=C1OC,db_17
Tamatinib,-8.32,COC1=CC(NC2=NC=C(F)C(NC3=CC=C4OC(C)(C)C(=O)NC4=N3)=N2)=CC(OC)=C1OC,db_96
Praliciguat,-8.29,OC(CNC1=NC(=NC=C1F)C1=NN(CC2=C(F)C=CC=C2)C(=C1)C1=NOC=C1)(C(F)(F)F)C(F)(F)F,db_128
Eltanexor,-8.28,NC(=O)C(=C\N1C=NC(=N1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)\C1=CN=CN=C1,db_121
Pamiparib,-8.23,C[C@]12CCCN1CC1=NNC(=O)C3=C4C(NC2=C14)=CC(F)=C3,db_81
Pamiparib,-8.23,C[C@]12CCCN1CC1=NNC(=O)C3=C4C(NC2=C14)=CC(F)=C3,db_168
JNJ-55308942,-8.23,C[C@H]1CC2=C(CN1C(=O)C1=CC=NC(=C1F)C(F)(F)F)N=NN2C1=NC=C(F)C=N1,db_81
JNJ-55308942,-8.23,C[C@H]1CC2=C(CN1C(=O)C1=CC=NC(=C1F)C(F)(F)F)N=NN2C1=NC=C(F)C=N1,db_168
Imaradenant,-8.15,CC1=NC(Cl)=CC(=C1)C1=NN=C(N)N=C1C1=CC=C(F)C=C1,db_122
Unesbulin,-8.13,CC1=NC2=CC=C(F)C=C2N1C1=NC(N)=C(F)C(NC2=CC=C(C=C2)C(F)(F)F)=N1,db_108
Unesbulin,-8.13,CC1=NC2=CC=C(F)C=C2N1C1=NC(N)=C(F)C(NC2=CC=C(C=C2)C(F)(F)F)=N1,db_152
JNJ-54175446,-8.13,C[C@H]1N(CCC2=C1N=NN2C1=NC=C(F)C=N1)C(=O)C1=C(Cl)C(=CC=C1)C(F)(F)F,db_108
JNJ-54175446,-8.13,C[C@H]1N(CCC2=C1N=NN2C1=NC=C(F)C=N1)C(=O)C1=C(Cl)C(=CC=C1)C(F)(F)F,db_152
STX-107,-8.11,CC1=NC(=CS1)C#CC1=CC=C(N=C1)C1=CC(=CC(F)=C1)C#N,db_138
AKN-028,-8.05,NC1=C(NC2=CC=C3NC=CC3=C2)N=C(C=N1)C1=CC=NC=C1,db_61
UK-500001,-8.02,CC1=CC(C(=O)N[C@H]2CC[C@H](CC2)NC(=O)C2=C(OC3=CC(F)=C(F)C=C3)N=CC(F)=C2)=C(O)C=C1,db_64
Midazolam,-8.01,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,db_0
Ilaprazole,-7.99,COC1=C(C)C(CS(=O)C2=NC3=C(N2)C=CC(=C3)N2C=CC=C2)=NC=C1,db_37
Nelotanserin,-7.98,COC1=CC=C(NC(=O)NC2=CC=C(F)C=C2F)C=C1C1=C(Br)C=NN1C,db_54
Florzolotau_F-18,-7.79,CNC1=CC=C(\C=C\C=C\C2=NC3=C(S2)C=C(OCC(O)C[18F])C=C3)C=N1,db_127
Roflumilast,-7.78,FC(F)OC1=C(OCC2CC2)C=C(C=C1)C(=O)NC1=C(Cl)C=NC=C1Cl,db_2
Albaconazole,-7.75,C[C@@H](N1C=NC2=CC(Cl)=CC=C2C1=O)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F,db_40
Regorafenib,-7.73,CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1,db_21
Delafloxacin,-7.67,NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F,db_35
Enasidenib,-7.65,CC(C)(O)CNC1=NC(=NC(NC2=CC(=NC=C2)C(F)(F)F)=N1)C1=NC(=CC=C1)C(F)(F)F,db_80
PF-05180999,-7.55,CN1N=CC(C2=C3N(N=CN=C3N3CCC3)C(C)=N2)=C1C1=NC=C(C=C1)C(F)(F)F,db_89
Tezacaftor,-7.52,CC(C)(CO)C1=CC2=CC(NC(=O)C3(CC3)C3=CC=C4OC(F)(F)OC4=C3)=C(F)C=C2N1C[C@@H](O)CO,db_26
Izaflortaucipir,-7.48,FC1=CC(=CC=N1)C1=NC2=C(C=C1)C1=C(N2)C=CN=C1,db_157
Florquinitau_(18F),-7.46,NC1=C([18F])C=CC2=CN=C(C=C12)N1C=CC2=CC=NC=C12,db_172
Taselisib,-7.43,CC(C)N1N=C(C)N=C1C1=CN2CCOC3=CC(=CC=C3C2=N1)C1=CN(N=C1)C(C)(C)C(N)=O,db_41
Talazoparib,-7.4,CN1N=CN=C1[C@@H]1[C@H](NC2=C3C1=NNC(=O)C3=CC(F)=C2)C1=CC=C(F)C=C1,db_27
Sevasemten,-7.37,FC1=CN=CC(CN2N=C(C=CC2=O)C2=CN=C(OCC(F)(F)F)N=C2)=C1,db_166
Rabeprazole,-7.32,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1,db_1
Rabeprazole,-7.32,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1,db_30
Sapanisertib,-7.32,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2OC(N)=NC2=C1,db_1
Sapanisertib,-7.32,CC(C)N1N=C(C2=C(N)N=CN=C12)C1=CC=C2OC(N)=NC2=C1,db_30
AZD-1480,-7.26,C[C@H](NC1=NC=C(Cl)C(NC2=NNC(C)=C2)=N1)C1=NC=C(F)C=N1,db_55
Piritrexim,-7.24,COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1,db_4
Cevipabulin,-7.08,CNCCCOC1=CC(F)=C(C(F)=C1)C1=C(N[C@@H](C)C(F)(F)F)N2N=CN=C2N=C1Cl,db_52
Quercetin-3'-O-phosphate,-6.67,OC1=CC(O)=C2C(=O)C(O)=C(OC2=C1)C1=CC(OP(O)(O)=O)=C(O)C=C1,db_67
Pociredir,-6.6,CC1=NC=CC=C1C1=CC2=C(NCC3=C4[C@@H](COC4=CC=C3F)CO2)N2C=NN=C12,db_151
Flutemetamol,-6.52,CNC1=C(F)C=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2,db_95
Flutemetamol_(18F),-6.5,CNC1=C([18F])C=C(C=C1)C1=NC2=CC=C(O)C=C2S1,db_23
Quercetin,-6.44,OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1,db_5
Ellagic_acid,-6.43,OC1=C(O)C2=C3C(=C1)C(=O)OC1=C3C(=CC(O)=C1O)C(=O)O2,db_19
Hematoxylin,-6.41,[H][C@]12C3=CC(O)=C(O)C=C3C[C@@]1(O)COC1=C2C=CC(O)=C1O,db_135
Sepetaprost,-6.37,CC(C)OC(=O)CCC[C@H]1CC[C@H]2[C@H](C[C@@H](O)[C@@H]2\C=C\[C@@H](O)COC2=CC(F)=CC=C2F)OC1,db_38
SAR443122,-6.01,CN1C2=NC=CC=C2OC[C@H](NC(=O)C2=NN=C(CC3=CC=CC=C3)N2)C1=O,db_129
Dihydromyricetin,-5.96,O[C@@H]1[C@H](OC2=C(C(O)=CC(O)=C2)C1=O)C1=CC(O)=C(O)C(O)=C1,db_116
Pyritinol,-4.77,CC1=C(O)C(CO)=C(CSSCC2=C(CO)C(O)=C(C)N=C2)C=N1,db_76
